hybrid_score_band,n_calls,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,share_nonzero_chunks,mean_rows_normalized,median_rows_normalized,mean_total_tokens_api
"(0.873, 1.0]",424,0.9484911995395174,17.229079556914996,0.6046716071102979,0.6839622641509434,3.313679245283019,2.0,1914.1721698113208
"(0.702, 0.873]",423,0.7875595562001492,13.207690241770823,0.548864871686232,0.4988179669030733,2.7990543735224587,0.0,1856.6501182033096
"(0.513, 0.702]",424,0.6104452368223442,9.802854005177066,0.5187065356042025,0.3490566037735849,2.0330188679245285,0.0,1727.0353773584907
"(-0.001, 0.513]",424,0.3172374339494195,4.5898285656113105,0.44261693606539715,0.14622641509433962,0.7452830188679245,0.0,1653.9033018867924
