top_k,cumulative_rows,share_total_rows_captured,mean_cumulative_rows_per_doc,median_cumulative_rows_per_doc,share_docs_with_any_output
1,582,0.15449960180515,2.6454545454545455,1.0,0.5818181818181818
2,1211,0.32147597557738256,5.504545454545455,4.0,0.7
3,1878,0.498539952216618,8.536363636363637,6.0,0.7545454545454545
4,2285,0.6065834881868861,10.386363636363637,8.0,0.7772727272727272
5,2803,0.7440934430581364,12.74090909090909,10.5,0.7909090909090909
6,3142,0.8340854791611362,14.281818181818181,12.0,0.7954545454545454
7,3535,0.9384125298646138,16.068181818181817,13.5,0.8
8,3767,1.0,17.12272727272727,14.0,0.8
