retrieval_rank,n_calls,mean_elapsed_s,median_elapsed_s,mean_total_tokens_api,total_rows_normalized,mean_rows_normalized,median_rows_normalized,share_nonzero_chunks,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw
1,220,3.3959152136363637,2.649189,1876.540909090909,582,2.6454545454545455,1.0,0.5818181818181818,0.9548338521610606,16.33012763370167,0.57992724776268
2,220,3.268798709090909,2.651866,1888.55,629,2.859090909090909,1.0,0.5909090909090909,0.8537737551737915,14.544970784404061,0.5693724904548038
3,220,3.3399767454545457,2.7216715000000002,1879.9409090909091,667,3.0318181818181817,1.0,0.5636363636363636,0.7621377452191982,12.89177621677518,0.5540669800205664
4,219,3.0492224246575343,2.486337,1757.392694063927,407,1.8584474885844748,0.0,0.4063926940639269,0.669292287458772,11.4782061195809,0.5258246804481228
5,213,3.2143802629107983,2.575544,1775.7042253521126,518,2.431924882629108,0.0,0.36619718309859156,0.5980577340498217,9.860074551312577,0.5208764484790569
6,208,2.875894451923077,2.1484235,1712.9471153846155,339,1.6298076923076923,0.0,0.2644230769230769,0.5229024187339326,8.620714884824478,0.5032115762050335
7,204,2.869424029411765,2.3477639999999997,1689.049019607843,393,1.9264705882352942,0.0,0.3235294117647059,0.46895632687408256,7.738335913083717,0.4867404309996203
8,191,2.8098271780104715,2.285506,1699.6335078534032,232,1.2146596858638743,0.0,0.21465968586387435,0.4433472965324678,7.225735355032052,0.4782499046849955
