hybrid_score_band,n_calls,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,share_nonzero_chunks,mean_rows_normalized,median_rows_normalized,mean_total_tokens_api
"(0.801, 1.0]",598,0.9120199784985354,16.40185271338077,0.6028304294897959,0.6705685618729097,3.4565217391304346,2.0,1924.7692307692307
"(0.608, 0.801]",597,0.6994298142404413,10.989454541573773,0.5299037897107589,0.37185929648241206,2.3115577889447234,0.0,1772.852596314908
"(0.412, 0.608]",598,0.5171865374348236,7.389362697617266,0.48660062198654863,0.21739130434782608,1.088628762541806,0.0,1696.2759197324415
"(-0.001, 0.412]",598,0.2503928700477558,3.4751041703623873,0.41013516323721927,0.04013377926421405,0.27591973244147155,0.0,1643.6571906354516
