company,bench_rows,rag_rows,matched_rows,unmatched_bench_rows,distinct_steps,step1,step2,step3,step4,score
EQUINOR ASA,6,3,3,3,1,0,0,3,0,9.3
Koenig & Bauer AG,6,3,3,3,1,0,3,0,0,9.3
Wüstenrot & Württembergische AG,6,9,3,3,1,0,0,3,0,9.3
"CIE Automotive, S.A.",5,3,3,2,1,3,0,0,0,9.0
Daimler Truck Holding AG,4,4,4,0,2,3,1,0,0,8.2
"Minor Hotels Europe & Americas, S.A.",4,5,4,0,2,3,1,0,0,8.2
PSI Software SE,4,3,4,0,2,2,2,0,0,8.2
AIRBUS SE,5,5,5,0,1,5,0,0,0,8.0
DS SMITH LIMITED,5,5,5,0,1,0,0,5,0,8.0
Friedrich Vorwerk Group SE,5,8,5,0,1,0,5,0,0,8.0
Hamburger Hafen und Logistik AG,5,6,5,0,1,5,0,0,0,8.0
Volkswagen AG St,5,10,5,0,1,5,0,0,0,8.0
Volkswagen AG Vz,5,10,5,0,1,5,0,0,0,8.0
WashTec AG,5,7,5,0,1,5,0,0,0,8.0
CA Immobilien Anlagen AG,5,3,2,3,1,0,0,0,2,8.0
BAWAG Group AG,7,6,1,6,1,0,0,0,1,7.6
Elmos Semiconductor SE,3,2,2,1,1,2,0,0,0,7.4
RINGMETALL SE  NA O.N.,3,3,2,1,1,0,2,0,0,7.4
SUSS MicroTec SE,3,10,2,1,1,2,0,0,0,7.4
Salzgitter AG,3,2,2,1,1,0,0,0,2,7.4
Dassault Aviation,5,1,1,4,1,1,0,0,0,7.0
Heidelberg Materials AG,3,3,3,0,2,2,0,0,1,6.9
NOVO NORDISK A/S,3,3,3,0,2,2,1,0,0,6.9
S IMMO AG,3,3,3,0,2,2,1,0,0,6.9
Siltronic AG,3,4,3,0,2,2,0,0,1,6.9
AB VOLVO,4,4,4,0,1,4,0,0,0,6.7
Daimler AG,4,5,4,0,1,4,0,0,0,6.7
Delivery Hero SE,4,4,4,0,1,4,0,0,0,6.7
Deutsche Telekom AG,4,5,4,0,1,4,0,0,0,6.7
Fresenius Medical Care AG,4,5,4,0,1,4,0,0,0,6.7
HELLA GmbH & Co. KGaA,4,4,4,0,1,4,0,0,0,6.7
INDUSTRIA DE DISENO TEXTIL S.A.,4,4,4,0,1,4,0,0,0,6.7
SMA Solar Technology AG,4,4,4,0,1,4,0,0,0,6.7
Scout24 SE,4,5,4,0,1,4,0,0,0,6.7
VIENNA INSURANCE GROUP AG,4,4,4,0,1,4,0,0,0,6.7
Viscom SE,4,4,4,0,1,4,0,0,0,6.7
AIB Group plc,4,19,1,3,1,0,0,0,1,6.7
Acerinox S.A.,4,2,1,3,1,1,0,0,0,6.7
Instone Real Estate Group,2,1,1,1,1,0,1,0,0,6.1
Medios AG,2,2,1,1,1,1,0,0,0,6.1
Warimpex Finanz- und Bet. AG,2,1,1,1,1,0,1,0,0,6.1
Zalando SE,2,1,1,1,1,1,0,0,0,6.1
"Melia Hotels International, S.A.",2,2,2,0,2,0,0,1,1,5.6
BMW AG Vz,3,3,3,0,1,3,0,0,0,5.4
Continental AG,3,8,3,0,1,3,0,0,0,5.4
"EDP Renováveis, S.A.",3,3,3,0,1,3,0,0,0,5.4
Eckert & Ziegler SE,3,3,3,0,1,0,3,0,0,5.4
INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A,3,3,3,0,1,3,0,0,0,5.4
ISS A/S,3,3,3,0,1,0,3,0,0,5.4
Immofinanz AG,3,3,3,0,1,3,0,0,0,5.4
R. Stahl AG,3,7,3,0,1,0,3,0,0,5.4
SGL Carbon SE,3,5,3,0,1,0,3,0,0,5.4
TAKKT AG,3,8,3,0,1,0,3,0,0,5.4
adidas AG,3,3,3,0,1,3,0,0,0,5.4
secunet Security Networks AG,3,3,3,0,1,0,3,0,0,5.4
Talanx Aktiengesellschaft,4,6,0,4,0,0,0,0,0,4.2
"Audax Renovables, S.A.",2,2,2,0,1,0,2,0,0,4.1
Bike24 Holding AG,2,2,2,0,1,0,0,2,0,4.1
Deutsche Lufthansa AG,2,3,2,0,1,0,2,0,0,4.1
"Gestamp Automoción, S.A.",2,4,2,0,1,2,0,0,0,4.1
Porsche AG Vz,2,4,2,0,1,2,0,0,0,4.1
"Prosegur Cash, S.A.",2,2,2,0,1,0,2,0,0,4.1
SAP SE,2,2,2,0,1,2,0,0,0,4.1
