stage,n_calls,mean_elapsed_s,median_elapsed_s,mean_prompt_tokens_api,mean_completion_tokens_api,mean_total_tokens_api,sum_elapsed_s,sum_prompt_tokens_api,sum_completion_tokens_api,sum_total_tokens_api,mean_n_evidence_rows_norm,sum_n_evidence_rows_norm,mean_n_rows_normalized,sum_n_rows_normalized
pass1,199,16.7292663919598,15.342948,10114.150753768845,974.5226130653266,11088.673366834171,3329.124012,2012716.0,193930.0,2206646.0,12.140703517587939,2416.0,,
pass2,165,9.830114369696968,8.785192,1263.9757575757576,492.4060606060606,1756.3818181818183,1621.9688709999998,208556.0,81247.0,289803.0,,,9.909090909090908,1635.0
