company_id,domain,query,best_link
AB VOLVO,www.volvogroup.com,"""AB VOLVO"" site:www.volvogroup.com ""Annual Report 2024"" filetype:pdf | ""AB VOLVO"" site:www.volvogroup.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.volvogroup.com/content/dam/volvo-group/markets/master/events/2025/annual-reports/volvo-group-annual-report-2024.pdf
AKZO NOBEL NV,www.akzonobel.com,"""AKZO NOBEL NV"" site:www.akzonobel.com ""Annual Report 2024"" filetype:pdf | ""AKZO NOBEL NV"" site:www.akzonobel.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.akzonobel.com/content/dam/akzonobel-corporate/global/en/investor-relations-images/result-center/archive-annual-reports/2029-2020/AkzoNobel-annual-report-2024.pdf
ANDRITZ AG,www.andritz.com,"""ANDRITZ AG"" site:www.andritz.com ""Annual Report 2024"" filetype:pdf | ""ANDRITZ AG"" site:www.andritz.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.andritz.com/resource/blob/621030/9b073db5f0c2199a357210ff2163950b/andritz-annual-report-2024-web-data.pdf
ASML HOLDING N.V.,ourbrand.asml.com,"""ASML HOLDING N.V."" site:ourbrand.asml.com ""Annual Report 2024"" filetype:pdf | ""ASML HOLDING N.V."" site:ourbrand.asml.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://ourbrand.asml.com/m/79d325b168e0fd7e/original/2024-Annual-Report-based-on-US-GAAP.pdf
ASSICURAZIONI GENERALI SPA,www.generali.com,"""ASSICURAZIONI GENERALI SPA"" site:www.generali.com ""Annual Report 2024"" filetype:pdf | ""ASSICURAZIONI GENERALI SPA"" site:www.generali.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.generali.com/doc/jcr:259c5d6e-46f7-4a43-9512-58e5dcbd2a56/Annual%20Integrated%20Report%20and%20Consolidated%20Financial%20Statements%202024_Generali%20Group_final_interactive.pdf/lang:en/Annual_Integrated_Report_and_Consolidated_Financial_Statements_2024_Generali_Group_final_interactive.pdf
BALFOUR BEATTY PLC,www.balfourbeatty.com,"""BALFOUR BEATTY PLC"" site:www.balfourbeatty.com ""Annual Report 2024"" filetype:pdf | ""BALFOUR BEATTY PLC"" site:www.balfourbeatty.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.balfourbeatty.com/media/yx0pn423/balfour-beatty-annual-report-and-accounts-2024.pdf
BUNZL PLC,www.bunzl.com,"""BUNZL PLC"" site:www.bunzl.com ""Annual Report 2024"" filetype:pdf | ""BUNZL PLC"" site:www.bunzl.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.bunzl.com/media/a4lawqit/annual-report-2024.pdf
COMPAGNIE FINANCIERE RICHEMONT SA,www.richemont.com,"""COMPAGNIE FINANCIERE RICHEMONT SA"" site:www.richemont.com ""Annual Report 2024"" filetype:pdf | ""COMPAGNIE FINANCIERE RICHEMONT SA"" site:www.richemont.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.richemont.com/media/tjbjiob5/richemont-non-financial-report-2024.pdf
COMPUTACENTER PLC,www.computacenter.com,"""COMPUTACENTER PLC"" site:www.computacenter.com ""Annual Report 2024"" filetype:pdf | ""COMPUTACENTER PLC"" site:www.computacenter.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.computacenter.com/docs/default-source/documents/sustainability-report-2024_final_links.pdf
DCC PLC,www.dcc.ie,"""DCC PLC"" site:www.dcc.ie ""Annual Report 2024"" filetype:pdf | ""DCC PLC"" site:www.dcc.ie (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.dcc.ie/~/media/Files/D/Dcc-Corp-v3/documents/investors/annual-and-sustainability-reports/2024/annual-report-2024.pdf
DS SMITH LIMITED,www.dssmith.com,"""DS SMITH LIMITED"" site:www.dssmith.com ""Annual Report 2024"" filetype:pdf | ""DS SMITH LIMITED"" site:www.dssmith.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.dssmith.com/contentassets/5318335f89404a1f96bcd238b5344e58/ds-smith-annual-report-2024.pdf
