slug,company,company_name_full,report_year,source_md,chunk_index,n_chunks,start_page,end_page,chunk_tokens_est,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_activities_raw,n_rows_normalized
rwe_ag_st,RWE AG St,RWE AG St,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\rwe_ag_st\2023\focused\rwe_ag_st_2023_taxonomy_focused.md,2,2,94,317,15012,15429,2.766563,ok,,1,15286,241,15527,11,11
renta_4_banco_s_a,"Renta 4 Banco, S.A.","Renta 4 Banco, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\renta_4_banco_s_a\2023\focused\renta_4_banco_s_a_2023_taxonomy_focused.md,1,4,12,76,27248,27673,2.747831,ok,,1,27179,36,27215,0,0
renta_4_banco_s_a,"Renta 4 Banco, S.A.","Renta 4 Banco, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\renta_4_banco_s_a\2023\focused\renta_4_banco_s_a_2023_taxonomy_focused.md,2,4,77,178,25295,25719,2.738766,ok,,1,25132,36,25168,0,0
renta_4_banco_s_a,"Renta 4 Banco, S.A.","Renta 4 Banco, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\renta_4_banco_s_a\2023\focused\renta_4_banco_s_a_2023_taxonomy_focused.md,3,4,179,196,25278,25703,2.939591,ok,,1,25370,36,25406,0,0
renta_4_banco_s_a,"Renta 4 Banco, S.A.","Renta 4 Banco, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\renta_4_banco_s_a\2023\focused\renta_4_banco_s_a_2023_taxonomy_focused.md,4,4,197,201,8635,9060,32.274223,ok,,1,8849,36,8885,0,0
rheinmetall_ag,Rheinmetall AG,Rheinmetall AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\rheinmetall_ag\2023\focused\rheinmetall_ag_2023_taxonomy_focused.md,1,3,18,142,25588,26009,4.879688,ok,,1,25661,306,25967,11,11
rheinmetall_ag,Rheinmetall AG,Rheinmetall AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\rheinmetall_ag\2023\focused\rheinmetall_ag_2023_taxonomy_focused.md,2,3,143,273,25093,25514,9.221833,ok,,1,25308,1327,26635,30,30
rheinmetall_ag,Rheinmetall AG,Rheinmetall AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\rheinmetall_ag\2023\focused\rheinmetall_ag_2023_taxonomy_focused.md,3,3,274,274,62,483,2.326784,ok,,1,491,33,524,0,0
rosenbauer_international_ag,Rosenbauer International AG,Rosenbauer International AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\rosenbauer_international_ag\2023\focused\rosenbauer_international_ag_2023_taxonomy_focused.md,1,1,13,20,8404,8825,32.98797,ok,,1,8698,33,8731,0,0
s_immo_ag,S IMMO AG,S IMMO AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\s_immo_ag\2023\focused\s_immo_ag_2023_taxonomy_focused.md,1,1,1,25,21525,21942,5.435795,ok,,1,21837,162,21999,3,3
safran,SAFRAN,SAFRAN,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\safran\2024\focused\safran_2024_taxonomy_focused.md,1,1,383,393,8581,8996,4.776901,ok,,1,8927,597,9524,12,12
sap_se,SAP SE,SAP SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\sap_se\2023\focused\sap_se_2023_taxonomy_focused.md,1,1,37,282,24524,24939,3.989482,ok,,1,24764,139,24903,2,2
schneider_electric_se,SCHNEIDER ELECTRIC SE,SCHNEIDER ELECTRIC SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\schneider_electric_se\2024\focused\schneider_electric_se_2024_taxonomy_focused.md,1,1,192,207,12572,12993,3.612064,ok,,1,12865,480,13345,19,19
schoeller_bleckmann_ag,SCHOELLER-BLECKMANN AG,SCHOELLER-BLECKMANN AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\schoeller_bleckmann_ag\2023\focused\schoeller_bleckmann_ag_2023_taxonomy_focused.md,1,1,20,96,20074,20503,4.278765,ok,,1,20322,379,20701,8,8
sgl_carbon_se,SGL Carbon SE,SGL Carbon SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\sgl_carbon_se\2023\focused\sgl_carbon_se_2023_taxonomy_focused.md,1,1,11,40,20801,21218,4.382932,ok,,1,21123,228,21351,5,5
shell_plc,SHELL PLC,SHELL PLC,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\shell_plc\2024\focused\shell_plc_2024_taxonomy_focused.md,1,1,384,393,9958,10373,10.849481,ok,,1,9935,1414,11349,28,28
sma_solar_technology_ag,SMA Solar Technology AG,SMA Solar Technology AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\sma_solar_technology_ag\2023\focused\sma_solar_technology_ag_2023_taxonomy_focused.md,1,2,12,46,25716,26134,2.749578,ok,,1,26069,45,26114,0,0
sma_solar_technology_ag,SMA Solar Technology AG,SMA Solar Technology AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\sma_solar_technology_ag\2023\focused\sma_solar_technology_ag_2023_taxonomy_focused.md,2,2,67,181,21145,21564,5.467349,ok,,1,21222,436,21658,4,4
strabag_se,STRABAG SE,STRABAG SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\strabag_se\2023\focused\strabag_se_2023_taxonomy_focused.md,1,2,9,80,28596,29013,37.892755,ok,,1,28987,1053,30040,23,23
strabag_se,STRABAG SE,STRABAG SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\strabag_se\2023\focused\strabag_se_2023_taxonomy_focused.md,2,2,81,106,2028,2445,1.768607,ok,,1,2426,39,2465,0,0
stratec_se,STRATEC SE,STRATEC SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\stratec_se\2023\focused\stratec_se_2023_taxonomy_focused.md,1,2,59,164,25373,25791,10.301671,ok,,1,25678,431,26109,9,9
stratec_se,STRATEC SE,STRATEC SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\stratec_se\2023\focused\stratec_se_2023_taxonomy_focused.md,2,2,165,167,71,488,2.527932,ok,,1,498,32,530,0,0
suss_microtec_se,SUSS MicroTec SE,SUSS MicroTec SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\suss_microtec_se\2023\focused\suss_microtec_se_2023_taxonomy_focused.md,1,1,54,92,20080,20501,4.099136,ok,,1,20369,397,20766,10,10
