slug,company,report_year,status,error_stage,error_message,n_chunks,n_evidence_rows_doc,n_pass2_batches,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,doc_total_elapsed_s,pass1_prompt_tokens_est_sum,pass2_prompt_tokens_est_sum,total_prompt_tokens_est_sum,pass1_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_prompt_tokens_api_sum,pass2_completion_tokens_api_sum,pass2_total_tokens_api_sum,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,n_pass1_calls_ok,n_pass1_calls_error,n_pass2_calls_ok,n_pass2_calls_error
mlp_se,MLP SE,2023,empty,pass1_to_pass2,,1,0,0,4.422698,0.0,4.422698,4.813869,3708,0,3708,3672,33,3705,0,0,0,3672,33,3705,1,0,0,0
manz_ag,Manz AG,2023,empty,pass1_to_pass2,,5,0,0,23.788646,0.0,23.788646,25.543317,101989,0,101989,101295,171,101466,0,0,0,101295,171,101466,5,0,0,0
mayr_melnhof_karton_ag,Mayr-Melnhof Karton AG,2023,empty,pass1_to_pass2,,1,0,0,3.031095,0.0,3.031095,3.601413,5101,0,5101,5055,50,5105,0,0,0,5055,50,5105,1,0,0,0
minor_hotels_europe_americas_s_a,"Minor Hotels Europe & Americas, S.A.",2023,empty,pass1_to_pass2,,2,0,0,7.321593,0.0,7.321593,9.431644,33783,0,33783,33486,94,33580,0,0,0,33486,94,33580,2,0,0,0
nemetschek_se,Nemetschek SE,2023,empty,pass1_to_pass2,,2,0,0,6.935836,0.0,6.935836,7.883806,39284,0,39284,39042,76,39118,0,0,0,39042,76,39118,2,0,0,0
oesterreichische_post_ag,Oesterreichische Post AG,2023,empty,pass1_to_pass2,,1,0,0,2.192229,0.0,2.192229,2.777231,11029,0,11029,10949,36,10985,0,0,0,10949,36,10985,1,0,0,0
pierer_mobility_ag,PIERER Mobility AG,2023,empty,pass1_to_pass2,,1,0,0,2.986836,0.0,2.986836,3.466396,5910,0,5910,5893,35,5928,0,0,0,5893,35,5928,1,0,0,0
pva_tepla_ag,PVA TePla AG,2023,empty,pass1_to_pass2,,1,0,0,7.150156,0.0,7.150156,7.68047,17911,0,17911,17730,41,17771,0,0,0,17730,41,17771,1,0,0,0
rhi_magnesita_n_v,RHI Magnesita N.V.,2023,empty,pass1_to_pass2,,5,0,0,17.665267,0.0,17.665267,19.647726,96886,0,96886,96223,197,96420,0,0,0,96223,197,96420,5,0,0,0
rosenbauer_international_ag,Rosenbauer International AG,2023,empty,pass1_to_pass2,,1,0,0,2.159401,0.0,2.159401,2.663247,8863,0,8863,8734,47,8781,0,0,0,8734,47,8781,1,0,0,0
schneider_electric_se,SCHNEIDER ELECTRIC SE,2024,empty,pass1_to_pass2,,1,0,0,2.022099,0.0,2.022099,2.458101,13030,0,13030,12900,42,12942,0,0,0,12900,42,12942,1,0,0,0
sgl_carbon_se,SGL Carbon SE,2023,empty,pass1_to_pass2,,1,0,0,2.426669,0.0,2.426669,3.475949,21258,0,21258,21160,28,21188,0,0,0,21160,28,21188,1,0,0,0
