slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok,n_llm_calls_error
andritz_ag,Andritz AG,Andritz AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\andritz_ag\2023\focused\andritz_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,21,12,0.16894,0.551716,44.195916,48.080142,12,0
audax_renovables_s_a,"Audax Renovables, S.A.","Audax Renovables, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\audax_renovables_s_a\2023\focused\audax_renovables_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,21,12,0.22111,0.63982,25.885553,29.678174,12,0
azkoyen_s_a,"Azkoyen, S.A.","Azkoyen, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\azkoyen_s_a\2023\focused\azkoyen_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,28,12,0.158931,1.248676,22.110827,26.481368,12,0
bawag_group_ag,BAWAG Group AG,BAWAG Group AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bawag_group_ag\2023\focused\bawag_group_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,30,12,0.168377,0.480383,23.448083,27.049192,12,0
bmw_ag_vz,BMW AG Vz,BMW AG Vz,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bmw_ag_vz\2023\focused\bmw_ag_vz_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,54,12,0.106019,1.149759,24.618161,28.864382,12,0
banco_santander_s_a,"Banco Santander, S.A.","Banco Santander, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\banco_santander_s_a\2023\focused\banco_santander_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,72,12,0.098371,0.68536,23.489964,27.813984,12,0
baywa_ag,BayWa AG,BayWa AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\baywa_ag\2023\focused\baywa_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,7,7,0.125224,0.452096,9.016021,11.315535,7,0
bayer_ag,Bayer AG,Bayer AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bayer_ag\2023\focused\bayer_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,28,12,0.283863,0.516941,42.695894,46.331792,12,0
bechtle_ag,Bechtle AG,Bechtle AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bechtle_ag\2023\focused\bechtle_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,7,7,0.106227,0.364939,9.34796,11.565918,7,0
beiersdorf_ag,Beiersdorf AG,Beiersdorf AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\beiersdorf_ag\2023\focused\beiersdorf_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,24,12,0.125341,0.478234,23.491102,26.99794,12,0
bike24_holding_ag,Bike24 Holding AG,Bike24 Holding AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bike24_holding_ag\2023\focused\bike24_holding_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,13,12,0.112036,0.498434,47.341538,50.713909,12,0
bilfinger_se,Bilfinger SE,Bilfinger SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bilfinger_se\2023\focused\bilfinger_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,45,12,0.264571,0.985482,73.69977,77.929541,12,0
brenntag_se,Brenntag SE,Brenntag SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\brenntag_se\2023\focused\brenntag_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,29,12,0.079167,0.782773,53.558636,57.415064,12,0
