slug,company,company_name_full,report_year,source_md,retrieval_rank,retrieval_top_k,chunk_id,text_hash,start_page,end_page,chunk_tokens_est,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_activities_raw,n_rows_normalized,retrieval_score_hybrid,retrieval_score_bm25_raw,retrieval_score_emb_raw,embeddings_deployment,chat_deployment
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,2,9,3,cd77bc5cbfb8b2e9,97,97,1600,2034,2.23535,ok,,1,2037,256,2293,8,8,0.9435098171234131,10.51189136505127,0.5846073627471924,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,3,9,2,c415625529e510e0,96,96,1259,1693,1.974593,ok,,1,1701,200,1901,5,5,0.8716138601303101,10.86198616027832,0.5443213582038879,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,4,9,5,c44d5f27a8a8cfcc,99,99,1245,1679,1.793814,ok,,1,1636,38,1674,0,0,0.8621525168418884,11.212469100952148,0.5324174165725708,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,5,9,6,f29ab5153b63c99c,100,100,1200,1633,1.800933,ok,,1,1632,38,1670,0,0,0.7809852361679077,9.981097221374512,0.5222159028053284,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,6,9,7,49710f313a1001b0,100,102,1224,1660,1.761159,ok,,1,1669,38,1707,0,0,0.38306546211242676,2.555710792541504,0.502321183681488,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,7,9,8,2ff4635bc079711a,103,103,1318,1751,1.741163,ok,,1,1752,38,1790,0,0,0.16330786049365997,0.9411213397979736,0.4374108910560608,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,8,9,1,c55a5671afefc8db,94,95,1436,1872,1.818814,ok,,1,1871,38,1909,0,0,0.08237049728631973,0.7483474016189575,0.4047877788543701,text-embedding-3-small,gpt-5.1-chat
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,A P MOLLER-MAERSK A/S,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\a_p_moller_maersk_a_s\2024\focused\a_p_moller_maersk_a_s_2024_taxonomy_focused.md,9,9,9,9f3a3d1c42342f4d,103,103,74,508,1.543861,ok,,1,519,50,569,0,0,0.011880609206855297,0.9974324703216553,0.36733192205429077,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,1,10,3,529016c3afd556bb,164,165,1226,1672,4.679933,ok,,1,1626,150,1776,4,4,1.0,12.901749610900879,0.6298719644546509,text-embedding-3-small,gpt-5.1-chat
ab_volvo,AB VOLVO,AB VOLVO,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ab_volvo\2024\focused\ab_volvo_2024_taxonomy_focused.md,2,10,4,9d9c15efa0284705,165,166,1204,1652,2.291176,ok,,1,1615,182,1797,4,4,0.989770770072937,12.839756965637207,0.6253128051757812,text-embedding-3-small,gpt-5.1-chat
