config,hybrid_score_band,n_calls,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,share_nonzero_chunks,mean_rows_normalized,median_rows_normalized,mean_total_tokens_api
Restrictive-A,"(0.836, 1.0]",358,0.9337147962114665,9.018842625218397,0.6239267506079966,0.7541899441340782,3.61731843575419,2.5,1925.513966480447
Restrictive-A,"(0.623, 0.836]",358,0.7324687022736619,6.98434265432411,0.5782164944616776,0.5726256983240223,3.2262569832402233,1.0,1812.8156424581005
Restrictive-A,"(0.358, 0.623]",358,0.5015652789916406,4.705189063895348,0.5441296864821258,0.4245810055865922,2.815642458100559,0.0,1700.4385474860335
Restrictive-A,"(-0.001, 0.358]",358,0.13380098690808226,2.2713566412576918,0.420128903492203,0.11452513966480447,0.6843575418994413,0.0,1384.2905027932961
Restrictive-B,"(0.872, 1.0]",310,0.9512559112041227,9.210804743920603,0.62323355886244,0.7741935483870968,3.6580645161290324,2.0,1942.4193548387098
Restrictive-B,"(0.666, 0.872]",310,0.7724001582591764,7.498780428978705,0.5804510638598472,0.5806451612903226,3.087096774193548,2.0,1845.2870967741935
Restrictive-B,"(0.397, 0.666]",310,0.5383426175002128,5.313131655416181,0.5628413264789889,0.4870967741935484,2.9548387096774196,0.0,1740.774193548387
Restrictive-B,"(-0.001, 0.397]",311,0.17122223941456538,2.4702061767483254,0.4524243670931966,0.17363344051446947,1.1318327974276527,0.0,1416.0289389067525
Robust-A,"(0.801, 1.0]",598,0.9120199784985354,16.40185271338077,0.6028304294897959,0.6705685618729097,3.4565217391304346,2.0,1924.7692307692307
Robust-A,"(0.608, 0.801]",597,0.6994298142404413,10.989454541573773,0.5299037897107589,0.37185929648241206,2.3115577889447234,0.0,1772.852596314908
Robust-A,"(0.412, 0.608]",598,0.5171865374348236,7.389362697617266,0.48660062198654863,0.21739130434782608,1.088628762541806,0.0,1696.2759197324415
Robust-A,"(-0.001, 0.412]",598,0.2503928700477558,3.4751041703623873,0.41013516323721927,0.04013377926421405,0.27591973244147155,0.0,1643.6571906354516
Robust-B,"(0.873, 1.0]",424,0.9484911995395174,17.229079556914996,0.6046716071102979,0.6839622641509434,3.313679245283019,2.0,1914.1721698113208
Robust-B,"(0.702, 0.873]",423,0.7875595562001492,13.207690241770823,0.548864871686232,0.4988179669030733,2.7990543735224587,0.0,1856.6501182033096
Robust-B,"(0.513, 0.702]",424,0.6104452368223442,9.802854005177066,0.5187065356042025,0.3490566037735849,2.0330188679245285,0.0,1727.0353773584907
Robust-B,"(-0.001, 0.513]",424,0.3172374339494195,4.5898285656113105,0.44261693606539715,0.14622641509433962,0.7452830188679245,0.0,1653.9033018867924
