config,report_year,n_success_calls,n_nonzero_calls,share_nonzero_calls,mean_elapsed_s,mean_prompt_tokens_api,mean_completion_tokens_api,mean_total_tokens_api,total_rows_normalized,mean_rows_normalized,mean_rows_nonzero_only,n_docs,mean_index_elapsed_s,mean_retrieval_elapsed_s,mean_extraction_elapsed_sum_s,mean_doc_total_elapsed_s,mean_n_index_chunks,mean_n_retrieved_chunks,mean_coverage_ratio,share_topk_capped_docs,share_retrieved_all_chunks
Restrictive-A,2023,1204,542,0.45016611295681064,3.2194301171096344,1547.5514950166114,145.82724252491695,1693.3787375415282,2805,2.329734219269103,5.175276752767528,149,0.15049775838926174,0.41280098657718123,26.01472390604027,28.510385765100676,9.114093959731544,8.080536912751677,0.9566290204578071,0.15436241610738255,0.8456375838926175
Restrictive-A,2024,228,126,0.5526315789473685,4.130416298245614,1555.1622807017543,216.00877192982455,1771.171052631579,898,3.93859649122807,7.126984126984127,34,0.14904726470588234,0.4035284117647059,27.698085735294114,29.711606617647053,6.794117647058823,6.705882352941177,0.9941176470588234,0.029411764705882353,0.9705882352941176
Restrictive-B,2023,1029,506,0.49173955296404276,3.2070459854227407,1573.399416909621,155.7444120505345,1729.1438289601556,2528,2.456754130223518,4.996047430830039,149,0.016617020134228187,0.4417166375838927,22.14798868456376,24.251009684563755,9.114093959731544,6.906040268456376,0.8680963858166953,0.40268456375838924,0.5973154362416108
Restrictive-B,2024,212,119,0.5613207547169812,3.9580925518867924,1549.6698113207547,218.8443396226415,1768.5141509433963,831,3.919811320754717,6.983193277310924,34,0.015112029411764708,0.43663144117647057,24.67987132352941,26.488882970588236,6.794117647058823,6.235294117647059,0.9538918597742128,0.17647058823529413,0.8235294117647058
Robust-A,2023,2082,648,0.3112391930835735,3.0187541714697406,1644.5701248799232,114.56436119116235,1759.1344860710856,3300,1.585014409221902,5.092592592592593,185,0.16000816756756758,0.5457182486486486,33.97322264864865,37.30298552432432,31.135135135135137,11.254054054054054,0.5402149839300181,0.827027027027027,0.17297297297297298
Robust-A,2024,309,129,0.4174757281553398,3.7470891294498383,1582.3236245954693,178.73462783171522,1761.0582524271845,963,3.116504854368932,7.465116279069767,35,0.17513797142857146,0.5410648285714286,33.081444114285716,35.706571,29.257142857142856,8.82857142857143,0.8865796285755813,0.17142857142857143,0.8285714285714286
Robust-B,2023,1433,587,0.4096301465457083,3.0199353893928826,1655.7487787857642,131.68527564549896,1787.4340544312631,2886,2.013956734124215,4.916524701873935,185,0.02370078918918919,0.5730609621621622,23.39225618918919,25.814182821621618,31.135135135135137,7.745945945945946,0.400077802554492,0.8972972972972973,0.10270270270270271
Robust-B,2024,262,124,0.4732824427480916,3.611193816793893,1602.2519083969466,188.1946564885496,1790.4465648854962,881,3.3625954198473282,7.104838709677419,35,0.030925085714285715,0.5545597714285714,27.032365,29.251670257142862,29.257142857142856,7.485714285714286,0.8045018591658276,0.4857142857142857,0.5142857142857142
