config,raw_total_calls,successful_calls,failed_calls,success_share,failure_share,share_nonzero_chunks,total_rows_normalized,mean_rows_normalized,mean_rows_nonzero_only,total_tokens_api_sum,mean_total_tokens_api,mean_prompt_tokens_api,mean_completion_tokens_api,sum_elapsed_s,mean_elapsed_s,median_elapsed_s,mean_chunk_tokens_est,mean_prompt_tokens_est
Restrictive-A,1432,1432,0,1.0,0.0,0.4664804469273743,3703,2.5858938547486034,5.543413173652695,2442655,1705.7646648044692,1548.7632681564246,157.0013966480447,4817.928777000001,3.3644754029329618,2.700591,1119.4399441340781,1545.0188547486034
Restrictive-B,1241,1241,0,1.0,0.0,0.5036261079774376,3359,2.7066881547139405,5.3744,2154214,1735.8694601128122,1569.3456889605156,166.52377115229655,4139.165940000001,3.3353472522159553,2.62384,1139.6196615632555,1565.2917002417405
Robust-A,2391,2391,0,1.0,0.0,0.32496863237139273,4263,1.7829360100376412,5.486486486486487,4206685,1759.383103304057,1636.5257214554579,122.85738184859892,7442.896726,3.1128802701798413,2.460566,1209.909661229611,1635.6511919698871
Robust-B,1695,1695,0,1.0,0.0,0.4194690265486726,3767,2.2224188790560473,5.298171589310829,3030490,1787.8997050147493,1647.4796460176992,140.42005899705015,5273.700193000001,3.1113275474926256,2.505175,1220.0648967551622,1645.804719764012
