config,raw_total_docs,successful_docs,failed_docs,success_share,top_k_requested_mode,n_queries_mode,mean_w_bm25,mean_w_emb,sum_index_elapsed_s,mean_index_elapsed_s,sum_retrieval_elapsed_s,mean_retrieval_elapsed_s,sum_extraction_elapsed_sum_s,mean_extraction_elapsed_sum_s,sum_doc_total_elapsed_s,mean_doc_total_elapsed_s,mean_n_index_chunks,mean_n_retrieved_chunks,share_retrieved_all_chunks,share_topk_capped_docs,mean_coverage_ratio,sum_llm_calls_ok,sum_llm_calls_error
Restrictive-A,183,183,0,1.0,12,17,0.5,0.5,27.491773,0.15022826775956283,75.22731300000001,0.4110782131147542,4817.928776999999,26.3274796557377,5258.242104,28.733563409836066,8.683060109289617,7.825136612021858,0.8688524590163934,0.13114754098360656,0.9635941204820395,1432,0
Restrictive-B,183,183,0,1.0,8,17,0.6500000000000001,0.3500000000000001,2.9897449999999997,0.016337404371584697,80.661248,0.44077184699453553,4139.1659389999995,22.618393109289617,4514.022464,24.666789420765024,8.683060109289617,6.781420765027322,0.639344262295082,0.36065573770491804,0.8840365285191849,1241,0
Robust-A,220,220,0,1.0,12,17,0.5,0.5,35.73134,0.16241518181818182,119.895145,0.5449779318181818,7442.896734,33.83134879090909,8150.782307000001,37.04901048636364,30.836363636363636,10.868181818181819,0.2772727272727273,0.7227272727272728,0.5953184501236305,2391,0
Robust-B,220,220,0,1.0,8,17,0.6500000000000002,0.35,5.467023999999999,0.024850109090909088,125.42586999999999,0.5701175909090909,5273.70017,23.97136440909091,5799.432280999999,26.36105582272727,30.836363636363636,7.704545454545454,0.16818181818181818,0.8318181818181818,0.4644179933790227,1695,0
