hybrid_score_band,n_calls,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,share_nonzero_chunks,mean_rows_normalized,median_rows_normalized,mean_total_tokens_api
"(0.836, 1.0]",358,0.9337147962114665,9.018842625218397,0.6239267506079966,0.7541899441340782,3.61731843575419,2.5,1925.513966480447
"(0.623, 0.836]",358,0.7324687022736619,6.98434265432411,0.5782164944616776,0.5726256983240223,3.2262569832402233,1.0,1812.8156424581005
"(0.358, 0.623]",358,0.5015652789916406,4.705189063895348,0.5441296864821258,0.4245810055865922,2.815642458100559,0.0,1700.4385474860335
"(-0.001, 0.358]",358,0.13380098690808226,2.2713566412576918,0.420128903492203,0.11452513966480447,0.6843575418994413,0.0,1384.2905027932961
