company,label_id,count
ESSILORLUXOTTICA,act_gov_privacy_security,8
ESSILORLUXOTTICA,act_gov_risk_management,8
ESSILORLUXOTTICA,act_soc_diversity_inclusion,8
ESSILORLUXOTTICA,act_soc_training_programs,5
GALP ENERGIA SGPS S.A,act_env_emission_reduction_programs,3
GALP ENERGIA SGPS S.A,act_env_energy_efficiency,8
GALP ENERGIA SGPS S.A,act_env_renewable_energy,8
GALP ENERGIA SGPS S.A,act_gov_ethics_code_compliance,8
GALP ENERGIA SGPS S.A,act_gov_privacy_security,5
GALP ENERGIA SGPS S.A,act_gov_risk_management,8
GALP ENERGIA SGPS S.A,act_soc_diversity_inclusion,8
GALP ENERGIA SGPS S.A,act_soc_health_safety_programs,7
HEINEKEN HOLDING N.V,act_env_renewable_energy,5
HEINEKEN HOLDING N.V,act_gov_risk_management,8
HEINEKEN HOLDING N.V,act_soc_diversity_inclusion,6
HENKEL AG _ CO. KGAA,act_env_emission_reduction_programs,1
HENKEL AG _ CO. KGAA,act_env_energy_efficiency,1
HENKEL AG _ CO. KGAA,act_env_renewable_energy,8
HENKEL AG _ CO. KGAA,act_gov_privacy_security,1
HENKEL AG _ CO. KGAA,act_gov_risk_management,8
HENKEL AG _ CO. KGAA,act_soc_diversity_inclusion,8
HENKEL AG _ CO. KGAA,act_soc_training_programs,6
HSBC HOLDINGS PLC,act_env_emission_reduction_programs,4
HSBC HOLDINGS PLC,act_env_energy_efficiency,4
HSBC HOLDINGS PLC,act_env_renewable_energy,4
HSBC HOLDINGS PLC,act_gov_ethics_code_compliance,4
HSBC HOLDINGS PLC,act_gov_privacy_security,8
HSBC HOLDINGS PLC,act_gov_risk_management,8
HSBC HOLDINGS PLC,act_soc_diversity_inclusion,8
HSBC HOLDINGS PLC,act_soc_health_safety_programs,3
HSBC HOLDINGS PLC,act_soc_training_programs,6
INCHCAPE PLC,act_env_emission_reduction_programs,2
INCHCAPE PLC,act_env_energy_efficiency,6
INCHCAPE PLC,act_env_renewable_energy,5
INCHCAPE PLC,act_gov_ethics_code_compliance,5
INCHCAPE PLC,act_gov_privacy_security,3
INCHCAPE PLC,act_gov_risk_management,8
INCHCAPE PLC,act_soc_diversity_inclusion,8
INCHCAPE PLC,act_soc_health_safety_programs,8
INCHCAPE PLC,act_soc_training_programs,6
