hybrid_score_band,n_calls,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,share_nonzero_chunks,mean_rows_normalized,median_rows_normalized,mean_total_tokens_api
"(0.872, 1.0]",310,0.9512559112041227,9.210804743920603,0.62323355886244,0.7741935483870968,3.6580645161290324,2.0,1942.4193548387098
"(0.666, 0.872]",310,0.7724001582591764,7.498780428978705,0.5804510638598472,0.5806451612903226,3.087096774193548,2.0,1845.2870967741935
"(0.397, 0.666]",310,0.5383426175002128,5.313131655416181,0.5628413264789889,0.4870967741935484,2.9548387096774196,0.0,1740.774193548387
"(-0.001, 0.397]",311,0.17122223941456538,2.4702061767483254,0.4524243670931966,0.17363344051446947,1.1318327974276527,0.0,1416.0289389067525
