top_k,cumulative_rows,share_total_rows_captured,mean_cumulative_rows_per_doc,median_cumulative_rows_per_doc,share_docs_with_any_output
1,606,0.18041083655849954,3.3114754098360657,2.0,0.6885245901639344
2,1168,0.34772253646918727,6.382513661202186,5.0,0.8633879781420765
3,1795,0.5343852337005061,9.808743169398907,8.0,0.9289617486338798
4,2239,0.6665674307829711,12.234972677595628,11.0,0.9508196721311475
5,2600,0.7740398928252457,14.207650273224044,12.0,0.9562841530054644
6,2925,0.8707948794284013,15.98360655737705,13.0,0.9562841530054644
7,3187,0.9487942840130992,17.415300546448087,13.0,0.9562841530054644
8,3359,1.0,18.3551912568306,14.0,0.9562841530054644
