slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
allianz_se,Allianz SE,2023,3.0,3.0,0.0,1.0,0.0,38.130846,10.423953,48.554798999999996,55039.0,1967.0,57006.0,2051.0,551.0,2602.0,57090.0,2518.0,59608.0,22.0,22.0,1.0,ok
d_rr_ag,Dürr AG,2023,4.0,4.0,0.0,1.0,0.0,34.881355000000006,13.446532,48.327887000000004,67213.0,1577.0,68790.0,1663.0,937.0,2600.0,68876.0,2514.0,71390.0,23.0,20.0,1.0,ok
deutsche_lufthansa_ag,Deutsche Lufthansa AG,2023,3.0,3.0,0.0,1.0,0.0,44.030325999999995,3.711835,47.742160999999996,62740.0,517.0,63257.0,269.0,76.0,345.0,63009.0,593.0,63602.0,2.0,1.0,1.0,ok
r_stahl_ag,R. Stahl AG,2023,3.0,3.0,0.0,1.0,0.0,33.182045,13.912755,47.094800000000006,58313.0,1992.0,60305.0,1810.0,677.0,2487.0,60123.0,2669.0,62792.0,29.0,17.0,1.0,ok
galp_energia_sgps_s_a,GALP ENERGIA SGPS S.A.,2024,1.0,1.0,0.0,1.0,0.0,29.084579,18.007344,47.091923,9460.0,1326.0,10786.0,2109.0,1234.0,3343.0,11569.0,2560.0,14129.0,20.0,20.0,1.0,ok
instone_real_estate_group,Instone Real Estate Group,2023,4.0,4.0,0.0,0.0,0.0,45.849493,0.0,45.849493,68639.0,0.0,68639.0,134.0,0.0,134.0,68773.0,0.0,68773.0,0.0,0.0,1.0,empty
industria_de_dise_o_textil_s_a,"Industria de Diseño Textil, S.A.",2023,4.0,4.0,0.0,1.0,0.0,30.089176999999996,15.412034,45.501211,77405.0,1278.0,78683.0,1127.0,1074.0,2201.0,78532.0,2352.0,80884.0,16.0,13.0,1.0,ok
beiersdorf_ag,Beiersdorf AG,2023,2.0,2.0,0.0,1.0,0.0,36.07577,9.074017,45.149786999999996,26851.0,2527.0,29378.0,2277.0,565.0,2842.0,29128.0,3092.0,32220.0,26.0,11.0,1.0,ok
k_s_aktiengesellschaft,K+S Aktiengesellschaft,2023,3.0,3.0,0.0,1.0,0.0,28.742579,15.791675,44.534254,50146.0,1591.0,51737.0,1362.0,967.0,2329.0,51508.0,2558.0,54066.0,21.0,12.0,1.0,ok
ds_smith_limited,DS SMITH LIMITED,2024,9.0,9.0,0.0,1.0,0.0,41.51274,2.403273,43.916013,182775.0,683.0,183458.0,1040.0,199.0,1239.0,183815.0,882.0,184697.0,5.0,5.0,1.0,ok
azkoyen_s_a,"Azkoyen, S.A.",2023,2.0,2.0,0.0,1.0,0.0,31.696962,12.040724,43.737686,32399.0,1999.0,34398.0,1900.0,722.0,2622.0,34299.0,2721.0,37020.0,20.0,18.0,1.0,ok
