report_year,n_success_calls,n_success_pass1,n_success_pass2,mean_elapsed_s,mean_total_tokens_api,sum_elapsed_s,sum_total_tokens_api,n_reports,reports_reaching_pass2,share_reports_reaching_pass2,total_evidence_rows,total_extracted_rows
2023,563,431,132,9.168202573712257,13339.827708703375,5161.6980490000005,7510323.0,185,132,0.7135135135135136,2224.0,1442.0
2024,108,77,31,9.772456527777775,12103.564814814816,1055.4253049999998,1307185.0,35,31,0.8857142857142857,513.0,389.0
